daysPer10Days Error
11 0
9 0
0 0
11.25 1.98037
12.75 2.38157
17.3333 0.272166
12.2727 1.44366
12.6667 1.95316
16.2 2.52032
15.3333 1.9814
15.625 1.94404
13.8462 1.3537
16.5556 0.917742
15 0.8
14.7333 1.17177
14.4444 0.630718
14.6667 2.1688
15.8571 0.913137
13.7778 0.899626
18 2.29734
11.6667 2.41906
17 2.82843
8 0
16.6 1.53883
14.5 1.06066
