daysPer10Days Error
11 0
0 0
0 0
12.25 1.43069
18 0
10 1.79505
11.2 0.995992
16 1.39284
15.75 2.07289
25.9 1.21202
28.625 1.84507
34.25 1.44428
41.8333 2.27812
37.9231 1.64788
29.625 2.1933
22.6667 1.98139
17.2222 1.47219
19 3.39935
14.2 0.657267
15.5 1.06066
11.5 1.47902
0 0
13.5 2.47487
0 0
13.5 1.76777
